"id","lineID","entryGroupID","lon","lat","status"
"682","1598","614","46","30.45","ok"
"683","1601","615","30.35","28.2","ok"
"684","1602","616","35.48","31.5","ok"
"685","1603","617","45","33.4","ok"
"686","1603","617","45","33.4","ok"
"687","1606","618","45","32.1","ok"
"688","1609","619","45","33.4","ok"
"689","1611","620","45","32.1","ok"
"690","1614","621","31.1","29.45","ok"
"691","1616","622","3430","30.3","ok"
"692","1619","623","34.3","30.3","ok"
"693","1623","624","36.05","32.05","ok"
"694","1626","625","30.3","30.45","ok"
"695","1629","626","36.45","33.35","ok"
"696","1630","627","55.1","24.1","ok"
"697","1632","628","28.1","31","ok"
"698","1635","629","45","33.3","ok"
"699","1636","630","48.15","30.15","ok"
"700","1638","631","30.1","30.05","ok"
"701","1640","632","33.4","27.2","ok"
"702","1643","633","35.4","30.5","ok"
"703","1645","634","35.5","32.1","ok"
"704","1648","635","33.3","22.3","ok"
"705","1650","636","30.35","28.2","ok"
"706","1653","637","35.48","31.5","ok"
"707","1656","638","35.1","31.3","ok"
"708","1659","639","31","22","ok"
"709","1662","640","31.35","22.2","ok"
"710","1665","641","31.35","22.2","ok"
"711","1668","642","31.35","22.2","ok"
"712","1671","643","42.2","36.1","ok"
"713","1673","644","35.1","32.55","ok"
"714","1675","645","31.35","22.2","ok"
"715","1679","646","31","22","ok"
"716","1682","647","31.35","22.2","ok"
"717","1684","648","31.35","22.2","ok"
"718","1686","649","31","30.45","ok"
"719","1689","650","30.4","27.5","ok"
"720","1692","651","31.15","30.55","ok"
"721","1696","652","29.3","30.5","ok"
"722","1699","653","31.1","29.55","ok"
"723","1702","654","30.4","27.5","ok"
"724","1704","655","31.1","21.45","ok"
"725","1707","656","31.05","29.1","ok"
"726","1710","657","31.1","29.5","ok"
"727","1713","658","31.1","30.55","ok"
"728","1717","659","30.5","30.4","ok"
"729","1720","660","31.1","30.55","ok"
"730","1723","661","30.45","29.15","ok"
"731","1725","662","30.48","29.14","ok"
"732","1727","663","35.4","30.5","ok"
"733","1730","664","36.05","32.05","ok"
"734","1732","665","30.35","31","ok"
"735","1734","666","35.5","32.1","ok"
"736","1742","668","35.1","31.55","ok"
"737","1743","669","44.2","31.5","ok"
"738","1746","670","44","31.3","ok"
"739","1747","671","35.1","31.55","ok"
"740","1750","672","31","22","ok"
"741","1752","673","31.35","30.5","ok"
"742","1754","674","35.05","32.35","ok"
"743","1759","676","32","26.05","ok"
"744","1761","677","35.45","32.05","ok"
"745","1763","678","32.1","30.35","ok"
"746","1766","679","32.1","30.35","ok"
"747","1769","680","45","31.3","ok"
"748","1772","681","45","31.3","ok"
"749","1774","682","42.15","34","ok"
"750","1776","683","37.3","36.1","ok"
